seconds,level,variables,used,original,conflicts,learned,limit,agility,MB
0.1,19.2,1581,98.7,317,2485,699,2356,8.9,18.0
1.1,33.9,1332,99.9,319,25516,6216,7386,11.4,19.2
0.1,24.8,1158,97.9,339,3960,2362,2850,11.0,18.4
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
2.5,32.3,1732,99.8,334,67540,8366,11892,9.6,19.3
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
1.1,39.6,1658,100.0,325,30450,4264,7386,13.4,18.6
0.6,28.0,1550,98.9,307,14122,4396,5550,11.8,18.7
0.3,30.8,1253,99.7,286,7262,3440,3792,10.5,18.6
0.3,33.3,1429,99.6,296,8658,3355,4171,10.7,18.6
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.3,35.8,1161,98.8,269,5258,1778,3448,11.8,18.3
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
1.4,31.7,1716,99.2,328,23942,5683,6715,11.9,19.0
1.9,32.7,1612,99.9,319,49351,9298,9829,12.7,19.8
3.4,37.0,1861,99.3,342,100e3,13985,14389,10.7,20.5
0.3,31.2,1616,99.1,322,6472,1906,3792,12.0,18.2
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.4,28.1,1466,99.3,304,9768,2528,4588,11.8,18.4
2.2,35.1,1762,99.8,335,48623,9114,9829,11.0,19.9
0.3,28.7,1686,99.3,327,7388,2361,3792,8.7,18.3
0.1,31.1,1666,98.9,325,2716,1370,2591,10.3,18.1
0.2,24.9,1637,99.0,323,7453,2431,3792,11.2,18.3
0.5,27.7,1265,99.8,276,15986,5557,5550,12.0,18.9
2.6,38.1,1537,99.9,318,60453,7418,10811,10.6,19.4
0.1,27.0,1273,99.2,280,1816,1388,2142,9.8,18.1
0.3,37.8,1664,99.8,314,6286,3315,3448,14.7,18.7
1.3,29.8,1607,99.4,321,33628,7189,8124,10.7,19.2
2.9,32.2,1602,99.8,322,62885,8651,10811,12.8,19.5
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.3,30.9,1640,99.4,319,8675,3799,4171,10.8,18.8
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.7,34.9,1486,99.8,311,15396,4956,5550,10.6,19.1
0.5,24.3,1503,98.7,297,14510,4625,5550,10.1,18.7
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
2.9,34.3,1683,99.9,323,69961,8001,11892,10.9,19.2
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
0.0,0.0,0,100.0,625,0,0,0,0.0,18.0
