seconds,level,variables,used,original,conflicts,learned,limit,agility,MB
0.0,16.3,667,99.1,149,719,702,1464,13.1,2.9
0.0,14.0,644,96.6,151,470,442,1331,13.2,2.8
0.0,0.0,0,100.0,0,21,0,0,0.0,2.8
0.1,22.2,705,99.0,152,2059,1999,2142,12.1,3.1
0.0,0.0,0,100.0,0,6,0,0,0.0,2.8
0.0,0.0,0,100.0,0,39,0,0,0.0,2.8
0.1,18.1,701,99.5,152,1993,1922,2142,13.1,3.1
0.0,14.1,700,99.2,153,376,374,1331,12.3,2.8
0.0,21.7,755,99.4,158,1295,1282,1771,13.4,3.1
0.1,18.4,644,99.8,146,2329,2236,2356,12.3,3.2
0.0,22.0,661,99.6,150,1227,1184,1771,13.7,3.0
0.1,18.1,701,99.5,152,1993,1922,2142,13.1,3.1
0.0,12.0,655,96.9,150,338,293,1210,11.9,2.8
0.0,12.7,583,99.3,147,507,474,1331,13.3,2.8
0.0,0.0,0,100.0,0,20,0,0,0.0,2.8
0.0,14.9,601,99.7,144,653,586,1464,14.5,2.9
0.0,0.0,0,100.0,0,58,0,0,0.0,2.8
0.1,18.1,701,99.5,152,1993,1922,2142,13.1,3.1
0.0,16.9,543,99.5,154,1080,1011,1771,14.2,3.0
0.0,16.9,543,99.5,154,1080,1011,1771,14.2,3.0
0.0,14.9,425,99.8,150,743,706,1464,13.6,2.9
0.1,24.4,722,99.8,152,2603,1260,2356,12.3,3.0
0.0,16.6,733,99.0,155,693,684,1464,11.9,2.9
0.0,10.5,534,99.4,132,339,309,1210,14.8,2.8
0.0,9.5,686,95.8,153,147,120,1100,9.9,2.8
0.0,13.4,687,97.9,150,305,288,1210,12.3,2.8
0.0,11.4,616,96.4,143,190,165,1100,12.2,2.8
0.0,0.0,0,100.0,0,2,0,0,0.0,2.8
0.0,9.0,662,91.8,147,139,128,1100,9.1,2.8
0.0,0.0,0,100.0,0,43,0,0,0.0,2.8
0.0,9.0,662,91.8,147,139,128,1100,9.1,2.8
0.0,13.8,511,99.0,145,231,201,1210,12.4,2.8
0.0,11.4,795,96.9,159,546,532,1464,9.8,2.9
0.0,14.7,594,99.3,146,970,901,1610,13.8,2.9
0.0,11.4,665,98.1,152,378,335,1210,11.4,2.8
0.0,10.8,429,99.4,134,233,173,1100,14.3,2.8
0.0,10.3,584,98.6,144,224,173,1100,11.8,2.8
0.0,0.0,0,100.0,0,6,0,0,0.0,2.8
0.0,21.0,635,98.8,148,658,651,1464,13.5,2.9
0.0,0.0,0,100.0,0,22,0,0,0.0,2.8
0.0,0.0,0,100.0,0,58,0,0,0.0,2.8
0.0,5.1,486,96.3,130,139,38,1000,5.8,2.8
0.0,10.8,429,99.4,134,233,173,1100,14.3,2.8
