seconds,level,variables,used,original,conflicts,learned,limit,agility,MB
260.0,41.2,3327,99.6,605,237e4,46738,66094,11.3,109.3
61.4,39.7,2534,100.0,511,799e3,34437,41041,11.7,107.4
12.0,39.4,3426,99.9,615,190e3,13046,19149,10.7,102.9
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
324.3,47.5,3412,99.9,616,376e4,73878,87970,9.8,116.9
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
54.8,43.5,3082,99.9,579,768e3,30629,37310,8.5,106.3
138.3,37.6,3174,99.7,570,123e4,36773,49659,11.5,107.5
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
176.1,41.7,3337,99.9,605,152e4,50588,54624,9.7,111.5
3.1,33.8,2740,99.2,597,48189,7493,9829,11.7,101.5
71.3,46.5,3077,100.0,580,690e3,33802,37310,9.8,108.4
9.8,36.6,2702,99.9,526,151e3,9538,17409,11.7,101.4
12.0,40.5,2433,99.8,492,165e3,13781,17409,10.3,103.1
50.6,36.9,3423,99.6,609,682e3,32125,37310,9.7,106.8
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
123.9,40.4,3197,99.9,590,139e4,43857,49659,11.3,109.0
16.0,39.2,2172,99.8,473,228e3,12840,21063,12.3,101.8
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
243.9,36.4,2902,99.7,561,222e4,58970,66094,10.5,111.5
46.8,41.4,3314,99.9,605,584e3,19208,33919,12.2,103.3
61.1,39.2,2789,100.0,567,684e3,24808,37310,12.2,106.1
44.3,40.4,2844,99.8,554,537e3,27927,30836,9.5,105.3
10.3,41.7,2816,99.6,556,117e3,13309,15827,9.4,102.6
275.7,40.5,3364,100.0,597,179e4,53710,60086,12.6,113.5
92.3,42.0,3376,99.8,584,947e3,39156,41041,9.5,109.8
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
17.2,41.1,3009,99.6,567,316e3,21145,25485,10.0,105.4
79.5,41.6,993,99.9,411,112e4,12179,45145,12.3,103.6
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
5.9,34.6,2552,99.6,518,101e3,8841,14389,10.1,102.6
55.1,40.9,2888,100.0,567,705e3,18891,37310,10.6,102.9
54.7,42.7,2947,100.0,542,514e3,19623,30836,11.7,105.5
59.9,40.8,3372,99.9,601,660e3,29847,37310,11.0,106.8
70.8,38.5,2824,100.0,554,665e3,34380,37310,11.2,107.5
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
9.8,37.2,3108,99.7,575,138e3,15257,15827,11.7,103.1
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
655.2,43.0,3463,100.0,609,328e4,47594,79973,10.8,108.7
25.5,38.4,2181,99.9,485,302e3,15426,23169,9.9,104.2
15.4,42.2,2937,99.9,572,199e3,17191,19149,10.4,105.5
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
443.7,42.2,3395,100.0,606,335e4,71676,79973,9.9,114.4
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
38.3,36.6,2853,100.0,572,404e3,19361,28033,9.4,104.3
23.5,38.8,3006,99.9,582,231e3,19584,21063,11.7,104.9
117.6,38.6,1925,100.0,443,128e4,29279,49659,11.5,112.1
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
0.0,0.0,0,100.0,1296,0,0,0,0.0,100.2
695.5,45.3,3082,100.0,584,403e4,68609,87970,10.8,115.7
13.3,38.3,1879,99.8,456,181e3,4607,19149,10.9,101.2
