seconds,level,variables,used,original,conflicts,learned,limit,agility,MB
0.0,0.0,0,100.0,0,22,0,0,0.0,0.3
0.0,0.0,0,100.0,0,3,0,0,0.0,0.3
0.0,0.0,0,100.0,0,4,0,0,0.0,0.3
0.0,0.0,0,100.0,0,18,0,0,0.0,0.3
0.0,0.0,0,100.0,0,8,0,0,0.0,0.3
0.0,0.0,0,100.0,0,41,0,0,0.0,0.3
0.0,0.0,0,100.0,0,6,0,0,0.0,0.3
0.0,0.0,0,100.0,0,26,0,0,0.0,0.3
0.0,0.0,0,100.0,0,6,0,0,0.0,0.3
0.0,0.0,0,100.0,0,24,0,0,0.0,0.3
0.0,0.0,0,100.0,0,14,0,0,0.0,0.3
0.0,0.0,0,100.0,0,3,0,0,0.0,0.3
0.0,0.0,0,100.0,0,26,0,0,0.0,0.3
0.0,0.0,0,100.0,0,8,0,0,0.0,0.3
0.0,0.0,0,100.0,0,19,0,0,0.0,0.3
0.0,0.0,0,100.0,0,32,0,0,0.0,0.3
0.0,0.0,0,100.0,0,39,0,0,0.0,0.3
0.0,0.0,0,100.0,0,10,0,0,0.0,0.3
0.0,0.0,0,100.0,0,13,0,0,0.0,0.3
0.0,0.0,0,100.0,0,26,0,0,0.0,0.3
0.0,5.4,220,86.1,57,11,5,1000,0.9,0.3
0.0,0.0,0,100.0,0,6,0,0,0.0,0.3
0.0,0.0,0,100.0,0,30,0,0,0.0,0.3
0.0,0.0,0,100.0,0,30,0,0,0.0,0.3
0.0,0.0,0,100.0,0,5,0,0,0.0,0.3
0.0,0.0,0,100.0,0,8,0,0,0.0,0.3
0.0,0.0,0,100.0,0,19,0,0,0.0,0.3
0.0,0.0,0,100.0,0,10,0,0,0.0,0.3
0.0,0.0,0,100.0,0,19,0,0,0.0,0.3
0.0,0.0,0,100.0,0,2,0,0,0.0,0.3
0.0,0.0,0,100.0,0,11,0,0,0.0,0.3
0.0,0.0,0,100.0,0,23,0,0,0.0,0.3
